source,target,value
2002,2002,2
99,99,3
a,a,7
acting,acting,1
all,all,4
always,always,1
an,an,3
and,and,10
are,are,3
as,as,1
at,at,3
baby,baby,3
back,back,1
been,been,1
better,better,3
better,better,1
both,both,3
but,but,1
bye,bye,6
bye,bye,3
childhood,childhood,3
covers,covers,1
cups,cups,1
dancing,dancing,3
day,day,8
days,days,3
drinking,drinking,1
each,each,1
eighteen,eighteen,1
eleven,eleven,1
ever,ever,1
fast,fast,1
feather,feather,1
fell,fell,7
for,for,3
forever,forever,1
forward,forward,1
friends,friends,3
from,from,1
go,go,3
got,got,3
grownups,grownups,1
guess,guess,1
hit,hit,3
hold,hold,3
holding,holding,1
hood,hood,3
i,i,5
if,if,3
im,im,1
in,in,11
is,is,1
it,it,3
its,its,1
just,just,1
kissed,kissed,1
light,light,1
like,like,5
lips,lips,1
love,love,4
love,love,6
lovers,lovers,1
lungs,lungs,3
me,me,3
me,me,6
middle,middle,3
more,more,4
mustang,mustang,3
my,my,1
need,need,1
never,never,1
no,no,1
now,now,1
now,now,1
of,of,7
oh,oh,1
old,old,3
on,on,16
one,one,3
only,only,1
ooh,ooh,18
ooh,ooh,8
oops,oops,3
other,other,1
our,our,6
paint,paint,3
picture,picture,3
plastic,plastic,1
present,present,1
problems,problems,3
remember,remember,1
ride,ride,3
sang,sang,3
say,say,2
singing,singing,7
songs,songs,3
summer,summer,1
take,take,3
taken,taken,1
than,than,2
that,that,1
the,the,26
this,this,2
this,this,1
time,time,2
time,time,1
to,to,2
top,top,3
TRUE,TRUE,1
uh,uh,1
uh,uh,5
under,under,1
up,up,3
wanna,wanna,3
was,was,1
we,we,18
well,well,1
went,went,3
were,were,6
when,when,4
where,where,3
will,will,1
with,with,6
woods,woods,3
yeah,yeah,1
yeah,yeah,1
you,you,7
young,young,3
